Sex,FacultyName,TCAS,StudentType,Flag
Female,School of Liberal Arts,5,FOREIGN,Korea
Female,School of Liberal Arts,5,FOREIGN,China
Male,School of Liberal Arts,4,FOREIGN,Philippines
Male,School of Liberal Arts,5,FOREIGN,United Kingdom of Great Britain and Northern Ireland
Female,School of Liberal Arts,5,FOREIGN,United States of America
Female,School of Liberal Arts,5,FOREIGN,Indonesia
Male,School of Liberal Arts,5,FOREIGN,South Korea
Female,School of Liberal Arts,5,FOREIGN,Myanmar
Male,School of Liberal Arts,5,FOREIGN,Laos
Female,School of Liberal Arts,5,FOREIGN,Japan
Male,School of Science,2,THAI,
Female,School of Science,1,THAI,
Female,School of Management,1,THAI,
Female,School of Management,5,FOREIGN,Mali
Female,School of Management,5,FOREIGN,South Africa
Male,School of Management,5,FOREIGN,Taiwan
Female,School of Management,1,THAI,
Female,School of Management,5,FOREIGN,Bangladesh
Female,School of Management,1,THAI,
Female,School of Information Technology,1,THAI,
Male,School of Information Technology,5,FOREIGN,Cameroon
Male,School of Information Technology,5,FOREIGN,Bhutan
Male,School of Information Technology,2,THAI,
Female,School of Agro-industry,3,THAI,
Male,School of Agro-industry,4,THAI,
Female,School of Law,1,THAI,
Female,School of Law,1,THAI,
Female,School of Cosmetic Science,1,THAI,
Female,School of Cosmetic Science,5,FOREIGN,Australia
Female,School of Cosmetic Science,1,FOREIGN,France
Female,School of Cosmetic Science,2,THAI,
Female,School of Health Science,2,THAI,
Female,School of Health Science,1,THAI,
Female,School of Nursing,2,THAI,
Female,School of Nursing,2,THAI,
Female,School of Medicine,2,THAI,
Female,School of Medicine,2,THAI,
Female,School of Dentistry,2,THAI,
Male,School of Dentistry,2,THAI,
Female,School of Social Innovation,5,FOREIGN,Brazil
Female,School of Social Innovation,3,THAI,
Male,School of Social Innovation,3,THAI,
Female,School of Sinology,1,THAI,Thailand
Male,School of Sinology,2,THAI,
Female,School of Sinology,2,THAI,
Female,School of Integrative Medicine,1,THAI,
Male,School of Integrative Medicine,1,THAI,
